■ 연도별 박스오피스,,,,,,,,,,
- 조회일: 2026-05-11,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,
▶ 검색조건 [ 조회기간: 2006   영화구분: 전체   국적: 한국   지역: 전체 ],,,,,,,,,,
순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
95,마법사들,2006-03-30,"38,682,500",0.00%,"6,456",8,437,한국,한국,(주)드림컴스
96,"모두들, 괜찮아요?",2006-03-24,"30,810,500",0.00%,"4,699",27,580,한국,한국,씨제이엔터테인먼트
97,방문자,2006-11-15,"31,998,300",0.00%,"4,661",1,114,한국,한국,씨제이엔터테인먼트
98,로보트 태권V(76년 디지털 복원판),,"22,393,500",0.00%,"4,611",1,84,한국,한국,
99,파랑주의보,2005-12-22,"26,829,500",0.00%,"4,475",35,335,한국,한국,아이러브시네마
100,세번째 시선,2006-11-23,"21,525,900",0.00%,"3,510",7,281,한국,한국,(주)영화사 진진
101,죽음의 숲-어느날 갑자기 네번째 이야기,2006-08-17,"21,760,000",0.00%,"3,241",6,214,한국,한국,씨제이엔터테인먼트
102,피터팬의 공식,2006-04-13,"18,992,000",0.00%,"3,046",10,379,한국,한국,씨제이엔터테인먼트
103,망종,2006-03-24,"16,886,400",0.00%,"2,612",3,191,한국,"한국,중국",(주)동숭아트센터
104,서울독립영화제2006,2006-12-07,"9,705,000",0.00%,"2,526",2,74,한국,한국,
105,CGV 한국단편 애니메이션영화제2006[4.20-4.23],2006-04-22,"7,261,500",0.00%,"2,409",4,64,한국,한국,
106,아주 특별한 손님,2006-11-30,"11,808,500",0.00%,"1,783",6,231,한국,한국,스폰지
107,제3회 롯데시네마 삼색아트필름전[2006.11.27-12.06],2006-11-27,"7,816,000",0.00%,"1,775",3,110,한국,한국,
108,허브,2007-01-11,"8,460,000",0.00%,"1,710",2,5,한국,한국,(주)쇼박스
109,호박전,2006-06-22,"4,383,000",0.00%,"1,651",1,90,한국,한국,서울애니메이션센터
110,눈부신 하루,2006-02-23,"10,855,000",0.00%,"1,630",3,120,한국,한국,"영화진흥위원회,아트플러스시네마네트워크"
111,8월의 일요일들,2006-09-29,"8,928,500",0.00%,"1,532",3,129,한국,한국,㈜인디스토리
112,길,2006-11-02,"9,372,500",0.00%,"1,439",2,103,한국,한국,스폰지
113,신성일의 행방불명,2006-02-16,"7,500,000",0.00%,"1,309",2,93,한국,한국,스폰지
114,형사 Duelist,2005-09-08,"5,118,000",0.00%,"1,040",1,19,한국,한국,코리아픽쳐스(주)
115,애니 프란체스카,2006-11-23,"3,316,000",0.00%,877,1,59,한국,한국,
116,달려라 장미,2006-02-10,"5,488,000",0.00%,860,3,258,한국,한국,(주)이모션픽처스
117,비단구두,2006-06-22,"5,173,000",0.00%,759,2,108,한국,한국,오리영화사
118,"온 더 로드, 투",2006-01-05,"3,170,500",0.00%,491,4,108,한국,한국,스폰지
119,브레인웨이브,2006-08-31,"2,550,000",0.00%,478,1,28,한국,한국,씨제이엔터테인먼트
120,달콤한 인생,2005-04-01,"3,178,600",0.00%,457,1,8,한국,한국,씨제이엔터테인먼트
121,러브토크,2005-11-11,"1,998,500",0.00%,445,1,14,한국,한국,씨제이엔터테인먼트
122,용서받지 못한 자,2005-11-18,"1,947,500",0.00%,406,1,23,한국,한국,영화사청어람(주)
123,광식이 동생 광태,2005-11-23,"2,661,000",0.00%,394,1,95,한국,한국,(주)엠케이픽처스
124,양아치어조,2006-06-23,"1,724,000",0.00%,255,1,64,한국,한국,영화사청어람(주)
125,아이들이 사는 성,,"574,000",0.00%,251,1,20,한국,한국,
126,"여자, 정혜",2005-03-10,"1,016,500",0.00%,230,1,11,한국,한국,(주)쇼박스
127,봄날은 간다,2001-09-28,"620,000",0.00%,124,1,10,한국,한국,(주)시네마서비스
128,다섯은 너무 많아,2005-11-25,"561,000",0.00%,113,1,23,한국,한국,"(사)한국독립영화협회,아트플러스시네마네트워크"
129,파이란,2001-04-28,"510,000",0.00%,102,1,9,한국,한국,"(주)영화사오원,(주)튜브엔터테인먼트"
130,나는 할렐루야 아줌마였다,1982-10-21,"555,000",0.00%,101,2,26,한국,한국,씨네마오병이어(주)
131,번지점프를 하다,2001-02-02,"455,000",0.00%,91,1,8,한국,한국,"(주)넥스트엔터테인먼트월드(NEW),이언픽쳐스,브에나비스타인터내셔널코리아"
132,동백꽃,2005-09-16,"333,000",0.00%,67,1,17,한국,한국,㈜인디스토리
133,사랑니,2005-09-29,"290,000",0.00%,58,1,9,한국,한국,(주)시네마서비스
134,클래식,2003-01-30,"280,000",0.00%,56,1,5,한국,한국,"(주)시네마서비스,(주)씨제이이엔엠"
135,왕후 심청,2005-08-11,"117,000",0.00%,52,1,1,한국,한국,(주)영화사한결
136,로드무비,2002-10-17,"255,000",0.00%,51,1,9,한국,한국,"(주)시네마서비스,영화사청어람(주)"
137,잠복근무,2005-03-17,"248,000",0.00%,50,1,11,한국,한국,(주)쇼박스
138,빛나는 거짓,2005-09-16,"223,000",0.00%,45,1,15,한국,한국,㈜인디스토리
139,여고괴담,1998-05-30,"274,500",0.00%,41,1,10,한국,한국,
140,시월애,2000-09-09,"200,000",0.00%,40,1,4,한국,한국,브에나비스타인터내셔널코리아
141,철수♡영희,2005-01-07,"233,000",0.00%,39,1,7,한국,한국,스폰지
142,태풍태양,2005-06-02,"121,500",0.00%,27,1,1,한국,한국,쇼이스트(주)
